Epoch 00 | Accuracy: 38.18% | Loss: 2.5358
Epoch 01 | Accuracy: 40.00% | Loss: 2.4234
Epoch 02 | Accuracy: 40.48% | Loss: 2.3943
Epoch 03 | Accuracy: 40.76% | Loss: 2.3780
Epoch 04 | Accuracy: 40.95% | Loss: 2.3666
Epoch 05 | Accuracy: 41.09% | Loss: 2.3587
Epoch 06 | Accuracy: 41.21% | Loss: 2.3521
Epoch 07 | Accuracy: 41.30% | Loss: 2.3469
Epoch 08 | Accuracy: 41.38% | Loss: 2.3425
Epoch 09 | Accuracy: 41.44% | Loss: 2.3392
Epoch 10 | Accuracy: 41.98% | Loss: 2.3097
Epoch 11 | Accuracy: 42.03% | Loss: 2.3067
Epoch 12 | Accuracy: 42.06% | Loss: 2.3056
Epoch 13 | Accuracy: 42.07% | Loss: 2.3050
Epoch 14 | Accuracy: 42.08% | Loss: 2.3045
Epoch 15 | Accuracy: 42.09% | Loss: 2.3040
Epoch 16 | Accuracy: 42.10% | Loss: 2.3034
Epoch 17 | Accuracy: 42.11% | Loss: 2.3030
Epoch 18 | Accuracy: 42.12% | Loss: 2.3028
Epoch 19 | Accuracy: 42.13% | Loss: 2.3022
Epoch 20 | Accuracy: 42.17% | Loss: 2.2993
Epoch 21 | Accuracy: 42.18% | Loss: 2.2989
Epoch 22 | Accuracy: 42.18% | Loss: 2.2989
Epoch 23 | Accuracy: 42.18% | Loss: 2.2988
Epoch 24 | Accuracy: 42.18% | Loss: 2.2988
Epoch 25 | Accuracy: 42.19% | Loss: 2.2986
Epoch 26 | Accuracy: 42.19% | Loss: 2.2986
Epoch 27 | Accuracy: 42.18% | Loss: 2.2985
Epoch 28 | Accuracy: 42.18% | Loss: 2.2984
Epoch 29 | Accuracy: 42.19% | Loss: 2.2985
